id,prediction
0,1
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,1
612,0
613,0
614,1
615,1
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,0
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,1
685,1
686,1
687,0
688,0
689,0
690,0
691,1
692,1
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,1
749,1
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,0
809,0
810,1
811,1
